11.6686913102
         52052 function calls (50051 primitive calls) in 2.817 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       38    0.000    0.000    0.001    0.000 _inspect.py:142(formatargspec)
  497/484    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
      644    0.000    0.000    0.000    0.000 sre_parse.py:232(__next)
      141    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:355(__init__)
      300    0.000    0.000    0.000    0.000 linalg.py:111(isComplexType)
      112    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
       30    0.000    0.000    0.000    0.000 enum.py:791(__or__)
        2    0.000    0.000    0.000    0.000 enum.py:124(__new__)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:51(<module>)
       15    0.000    0.000    0.000    0.000 sre_compile.py:482(_compile_info)
      136    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:698(find_spec)
        1    0.000    0.000    0.000    0.000 numerictypes.py:301(_add_aliases)
       19    0.000    0.000    0.000    0.000 ntpath.py:240(dirname)
      133    0.000    0.000    0.000    0.000 {built-in method builtins.any}
       19    0.000    0.000    0.000    0.000 ntpath.py:199(split)
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1196(__init__)
   102/54    0.000    0.000    0.000    0.000 sre_parse.py:173(getwidth)
1377/1346    0.000    0.000    0.000    0.000 {built-in method builtins.len}
      267    0.000    0.000    0.000    0.000 {built-in method numpy.core.multiarray.add_docstring}
       15    0.000    0.000    0.000    0.000 sre_parse.py:829(fix_flags)
      385    0.000    0.000    0.000    0.000 {built-in method nt.fspath}
      112    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:800(__init__)
      827    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
      517    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:834(__enter__)
      267    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
       14    0.000    0.000    0.000    0.000 hashlib.py:116(__get_openssl_constructor)
        1    0.000    0.000    0.000    0.000 _iotools.py:3(<module>)
      100    0.000    0.000    0.000    0.000 linalg.py:101(get_linalg_error_extobj)
        1    0.000    0.000    0.000    0.000 _polybase.py:8(<module>)
       13    0.000    0.000    0.000    0.000 sre_compile.py:376(_mk_bitmap)
      112    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:393(_check_name_wrapper)
      100    0.000    0.000    0.000    0.000 numeric.py:484(asanyarray)
     1598    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
       43    0.000    0.000    0.000    0.000 _inspect.py:98(getargspec)
        8    0.000    0.000    0.000    0.000 hashlib.py:73(__get_builtin_constructor)
      132    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
        3    0.000    0.000    0.000    0.000 enum.py:756(_missing_)
        1    0.000    0.000    0.000    0.000 hermite.py:59(<module>)
        9    0.000    0.000    0.000    0.000 datetime.py:355(__new__)
        3    0.000    0.000    0.000    0.000 enum.py:763(_create_pseudo_member_)
      227    0.000    0.000    0.000    0.000 sre_parse.py:163(__getitem__)
        6    0.000    0.000    0.000    0.000 abc.py:151(register)
      224    0.000    0.000    0.000    0.000 {built-in method from_bytes}
       81    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
      127    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:771(find_spec)
      100    0.000    0.000    0.000    0.000 linalg.py:219(_assertNoEmpty2d)
        1    0.000    0.000    0.000    0.000 _compression.py:1(<module>)
        3    0.000    0.000    0.000    0.000 enum.py:833(_decompose)
       78    0.000    0.000    0.000    0.000 {built-in method nt.getcwd}
     11/6    0.000    0.000    0.000    0.000 abc.py:194(__subclasscheck__)
        1    0.000    0.000    0.000    0.000 _endian.py:1(<module>)
      100    0.000    0.000    0.000    0.000 numeric.py:414(asarray)
      131    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:297(__enter__)
        1    0.000    0.000    0.000    0.000 defchararray.py:17(<module>)
       26    0.000    0.000    0.000    0.000 numerictypes.py:229(bitname)
       27    0.000    0.000    0.000    0.000 core.py:903(__init__)
        1    0.000    0.000    0.000    0.000 records.py:36(<module>)
      112    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
        9    0.000    0.000    0.000    0.000 abc.py:135(<setcomp>)
      100    0.000    0.000    0.000    0.000 linalg.py:198(_assertRankAtLeast2)
        1    0.000    0.000    0.000    0.000 arrayterator.py:9(<module>)
      161    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
      100    0.000    0.000    0.000    0.000 linalg.py:127(_complexType)
       48    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
      298    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 laguerre.py:59(<module>)
        1    0.000    0.000    0.000    0.000 numerictypes.py:957(_register_types)
       38    0.000    0.000    0.000    0.000 _inspect.py:67(getargs)
        9    0.000    0.000    0.000    0.000 extras.py:232(__init__)
        1    0.000    0.000    0.000    0.000 chebyshev.py:87(<module>)
        3    0.000    0.000    0.000    0.000 numeric.py:365(extend_all)
        1    0.000    0.000    0.000    0.000 hermite_e.py:59(<module>)
      621    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
        1    0.000    0.000    0.000    0.000 legendre.py:83(<module>)
        1    0.000    0.000    0.000    0.000 polyutils.py:45(<module>)
        1    0.000    0.000    0.000    0.000 suite.py:1(<module>)
       13    0.000    0.000    0.000    0.000 sre_compile.py:378(<listcomp>)
        9    0.000    0.000    0.000    0.000 extras.py:236(getdoc)
        1    0.000    0.000    0.000    0.000 bisect.py:1(<module>)
        1    0.000    0.000    0.000    0.000 getlimits.py:3(<module>)
      141    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:142(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:259(_reset_cache)
        1    0.000    0.000    0.000    0.000 defmatrix.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _datasource.py:35(<module>)
      106    0.000    0.000    0.000    0.000 {built-in method builtins.max}
        1    0.000    0.000    0.000    0.000 case.py:337(TestCase)
      524    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:307(<genexpr>)
      127    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1310(<setcomp>)
        3    0.000    0.000    0.000    0.000 enum.py:848(<listcomp>)
       19    0.000    0.000    0.000    0.000 ntpath.py:121(splitdrive)
        1    0.000    0.000    0.000    0.000 _import_tools.py:1(<module>)
      131    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:293(__init__)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:419(spec_from_loader)
        3    0.000    0.000    0.000    0.000 tokenize.py:137(_all_string_prefixes)
       10    0.000    0.000    0.000    0.000 sre_parse.py:96(closegroup)
      248    0.000    0.000    0.000    0.000 sre_compile.py:102(fixup)
        1    0.000    0.000    0.000    0.000 __future__.py:48(<module>)
        1    0.000    0.000    0.000    0.000 pprint.py:35(<module>)
        1    0.000    0.000    0.000    0.000 memmap.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _compat_pickle.py:9(<module>)
       12    0.000    0.000    0.000    0.000 functools.py:44(update_wrapper)
        8    0.000    0.000    0.000    0.000 core.py:7777(__init__)
        1    0.000    0.000    0.000    0.000 numerictypes.py:285(_add_types)
        1    0.000    0.000    0.000    0.000 _globals.py:17(<module>)
        1    0.000    0.000    0.000    0.000 token.py:1(<module>)
       18    0.000    0.000    0.000    0.000 core.py:981(__init__)
      102    0.000    0.000    0.000    0.000 {method 'match' of '_sre.SRE_Pattern' objects}
      243    0.000    0.000    0.000    0.000 {built-in method builtins.min}
      186    0.000    0.000    0.000    0.000 sre_parse.py:248(match)
      100    0.000    0.000    0.000    0.000 linalg.py:124(_realType)
      139    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(cb)
      265    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
      517    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
       15    0.000    0.000    0.000    0.000 enum.py:70(__setitem__)
      441    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
        2    0.000    0.000    0.000    0.000 shape_base.py:1(<module>)
        8    0.000    0.000    0.000    0.000 core.py:7782(getdoc)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1102(_legacy_get_spec)
      152    0.000    0.000    0.000    0.000 sre_parse.py:171(append)
        3    0.000    0.000    0.000    0.000 __init__.py:73(CFUNCTYPE)
        1    0.000    0.000    0.000    0.000 nosetester.py:6(<module>)
      328    0.000    0.000    0.000    0.000 {built-in method _sre.getlower}
        1    0.000    0.000    0.000    0.000 scimath.py:17(<module>)
       98    0.000    0.000    0.000    0.000 _inspect.py:133(strseq)
       29    0.000    0.000    0.000    0.000 sre_compile.py:388(_simple)
        2    0.000    0.000    0.000    0.000 __init__.py:328(__init__)
        1    0.000    0.000    0.000    0.000 core.py:2683(MaskedArray)
        8    0.000    0.000    0.000    0.000 sre_parse.py:266(getuntil)
       72    0.000    0.000    0.000    0.000 numerictypes.py:127(english_lower)
       15    0.000    0.000    0.000    0.000 sre_parse.py:223(__init__)
        1    0.000    0.000    0.000    0.000 numerictypes.py:120(<listcomp>)
        1    0.000    0.000    0.000    0.000 _version.py:7(<module>)
        6    0.000    0.000    0.000    0.000 contextlib.py:129(contextmanager)
       36    0.000    0.000    0.000    0.000 _weakrefset.py:36(__init__)
        1    0.000    0.000    0.000    0.000 threading.py:1190(__init__)
        1    0.000    0.000    0.000    0.000 stride_tricks.py:7(<module>)
       14    0.000    0.000    0.000    0.000 __init__.py:139(_check_size)
      110    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
        3    0.000    0.000    0.000    0.000 __init__.py:472(PYFUNCTYPE)
        1    0.000    0.000    0.000    0.000 __init__.py:636(Filter)
       23    0.000    0.000    0.000    0.000 numerictypes.py:216(_evalname)
        1    0.000    0.000    0.000    0.000 _methods.py:5(<module>)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.print}
       25    0.000    0.000    0.000    0.000 enum.py:351(__setattr__)
        1    0.000    0.000    0.000    0.000 datetime.py:1949(timezone)
        1    0.000    0.000    0.000    0.000 machar.py:7(<module>)
      168    0.000    0.000    0.000    0.000 {method 'partition' of 'str' objects}
       12    0.000    0.000    0.000    0.000 ctypeslib.py:330(prep_simple)
       19    0.000    0.000    0.000    0.000 _weakrefset.py:58(__iter__)
        5    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
        4    0.000    0.000    0.000    0.000 {built-in method nt.putenv}
        1    0.000    0.000    0.000    0.000 nanfunctions.py:19(<module>)
        6    0.000    0.000    0.000    0.000 sre_compile.py:381(_bytes_to_codes)
       96    0.000    0.000    0.000    0.000 sre_parse.py:285(tell)
      296    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
       21    0.000    0.000    0.000    0.000 {built-in method numpy.core.multiarray.empty}
        1    0.000    0.000    0.000    0.000 format.py:149(<module>)
       21    0.000    0.000    0.000    0.000 __init__.py:421(<genexpr>)
       10    0.000    0.000    0.000    0.000 sre_parse.py:84(opengroup)
        2    0.000    0.000    0.000    0.000 enum.py:623(<listcomp>)
        2    0.000    0.000    0.000    0.000 {built-in method _ctypes.POINTER}
        1    0.000    0.000    0.000    0.000 financial.py:10(<module>)
        1    0.000    0.000    0.000    0.000 twodim_base.py:3(<module>)
        1    0.000    0.000    0.000    0.000 numerictypes.py:451(_set_array_types)
        5    0.000    0.000    0.000    0.000 getlimits.py:245(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:411(__getattr__)
        1    0.000    0.000    0.000    0.000 fromnumeric.py:2200(amax)
        3    0.000    0.000    0.000    0.000 datetime.py:1368(__new__)
      108    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
        1    0.000    0.000    0.000    0.000 token.py:74(<dictcomp>)
       60    0.000    0.000    0.000    0.000 _inspect.py:146(<lambda>)
        1    0.000    0.000    0.000    0.000 random.py:87(__init__)
        6    0.000    0.000    0.000    0.000 core.py:1139(__init__)
       15    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
        1    0.000    0.000    0.000    0.000 result.py:24(TestResult)
       63    0.000    0.000    0.000    0.000 sre_parse.py:111(__init__)
        1    0.000    0.000    0.000    0.000 ufunclike.py:5(<module>)
        2    0.000    0.000    0.000    0.000 os.py:672(__setitem__)
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:927(exec_module)
        1    0.000    0.000    0.000    0.000 random.py:96(seed)
      131    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:410(has_location)
        1    0.000    0.000    0.000    0.000 numerictypes.py:338(_add_integer_aliases)
        1    0.000    0.000    0.000    0.000 pickle.py:986(_Unpickler)
       14    0.000    0.000    0.000    0.000 py3k.py:28(asbytes)
        1    0.000    0.000    0.000    0.000 arraypad.py:5(<module>)
        1    0.000    0.000    0.000    0.000 helper.py:4(<module>)
       93    0.000    0.000    0.000    0.000 sre_parse.py:159(__len__)
        1    0.000    0.000    0.000    0.000 numerictypes.py:781(_construct_lookups)
        3    0.000    0.000    0.000    0.000 utils.py:117(deprecate)
        1    0.000    0.000    0.000    0.000 numbers.py:147(Real)
       65    0.000    0.000    0.000    0.000 {built-in method builtins.repr}
       54    0.000    0.000    0.000    0.000 types.py:135(__get__)
       13    0.000    0.000    0.000    0.000 sre_parse.py:342(_escape)
        1    0.000    0.000    0.000    0.000 linalg.py:76(_determine_error_states)
        1    0.000    0.000    0.000    0.000 _iotools.py:473(StringConverter)
        2    0.000    0.000    0.000    0.000 os.py:678(__delitem__)
        3    0.000    0.000    0.000    0.000 utils.py:73(__call__)
        5    0.000    0.000    0.000    0.000 {method 'find_loader' of 'zipimport.zipimporter' objects}
      112    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:825(get_filename)
       21    0.000    0.000    0.000    0.000 __init__.py:419(<genexpr>)
        1    0.000    0.000    0.000    0.000 numeric.py:372(<listcomp>)
        1    0.000    0.000    0.000    0.000 threading.py:757(__init__)
        2    0.000    0.000    0.000    0.000 enum.py:114(__prepare__)
       28    0.000    0.000    0.000    0.000 signal.py:10(<lambda>)
      104    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1202(<genexpr>)
       24    0.000    0.000    0.000    0.000 enum.py:865(_power_of_two)
        1    0.000    0.000    0.000    0.000 arraysetops.py:26(<module>)
        1    0.000    0.000    0.000    0.000 {function Random.seed at 0x000000000344BD90}
      256    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
